Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
34.47108499,-120.226562,,,,,,,,,,,,,,,,,,,,
34.47117702,-120.228455,,,,,,,,,,,,,,,,,,,,
34.47150802,-120.226773,,,,,,,,,,,,,,,,,,,,
34.484923,-118.314832,,,,,,,,,,,,,,,,,,,,
34.486867,-118.317127,,,,,,,,,,,,,,,,,,,,
34.55453,-120.61067,,,,,,,,,,,,,,,,,,,,
34.55456,-120.60983,,,,,,,,,,,,,,,,,,,,
34.55508,-120.61096,,,,,,,,,,,,,,,,,,,,
34.569463,-119.951107,,,,,,,,,,,,,,,,,,,,
34.66667,-115.6644,,,,,,,,,,,,,,,,,,,,
34.69917,-115.6636,,,,,,,,,,,,,,,,,,,,
34.70306,-115.6642,,,,,,,,,,,,,,,,,,,,
34.712557,-120.048352,,,,,,,,,,,,,,,,,,,,
34.72107478,-118.4129355,,,,,,,,,,,,,,,,,,,,
34.724565,-120.062993,,,,,,,,,,,,,,,,,,,,
34.73707605,-118.4024445,,,,,,,,,,,,,,,,,,,,
34.738156,-120.026697,,,,,,,,,,,,,,,,,,,,
34.73846192,-118.3995184,,,,,,,,,,,,,,,,,,,,
34.738729,-120.027179,,,,,,,,,,,,,,,,,,,,
34.738782,-120.024753,,,,,,,,,,,,,,,,,,,,
34.738989,-120.026449,,,,,,,,,,,,,,,,,,,,
34.73905,-120.02608,,,,,,,,,,,,,,,,,,,,
34.73978,-120.026401,,,,,,,,,,,,,,,,,,,,
34.739812,-120.027295,,,,,,,,,,,,,,,,,,,,
34.740312,-120.025232,,,,,,,,,,,,,,,,,,,,
34.7545542,-118.4915828,,,,,,,,,,,,,,,,,,,,
34.75991222,-118.4980611,,,,,,,,,,,,,,,,,,,,
34.76272537,-118.4937177,,,,,,,,,,,,,,,,,,,,
34.80944,-115.6322,,,,,,,,,,,,,,,,,,,,
34.81056,-115.6336,,,,,,,,,,,,,,,,,,,,
34.81056,-115.6264,,,,,,,,,,,,,,,,,,,,
34.81556,-115.6422,,,,,,,,,,,,,,,,,,,,
34.81639,-115.6314,,,,,,,,,,,,,,,,,,,,
34.81667,-115.6331,,,,,,,,,,,,,,,,,,,,
34.81917,-115.6497,,,,,,,,,,,,,,,,,,,,
35.355817,-120.862533,,,,,,,,,,,,,,,,,,,,
35.355817,-120.862533,,,,,,,,,,,,,,,,,,,,
35.357233,-120.856983,,,,,,,,,,,,,,,,,,,,
35.357567,-120.857967,,,,,,,,,,,,,,,,,,,,
35.357567,-120.857967,,,,,,,,,,,,,,,,,,,,
35.358383,-120.854517,,,,,,,,,,,,,,,,,,,,
35.358383,-120.854517,,,,,,,,,,,,,,,,,,,,
35.358517,-120.8641,,,,,,,,,,,,,,,,,,,,
35.359383,-120.862333,,,,,,,,,,,,,,,,,,,,
35.359383,-120.862333,,,,,,,,,,,,,,,,,,,,
35.53386102,-121.084868,,,,,,,,,,,,,,,,,,,,
35.53389204,-121.085722,,,,,,,,,,,,,,,,,,,,
36.066434,-121.389111,,,,,,,,,,,,,,,,,,,,
36.066657,-121.389241,,,,,,,,,,,,,,,,,,,,
36.072166,-121.393265,,,,,,,,,,,,,,,,,,,,
36.074829,-121.398553,,,,,,,,,,,,,,,,,,,,
36.075678,-121.39782,,,,,,,,,,,,,,,,,,,,
36.092693,-121.421922,,,,,,,,,,,,,,,,,,,,
36.092879,-121.430085,,,,,,,,,,,,,,,,,,,,
